checkpoint,gmm_components,normal_holdout_p95,normal_holdout_score,normal_holdout_std,normal_num_clips,rank,sigma_strategy,signal_kind,single_sigma_index
argus stream A\outputs\avenue_stream_a_run1\checkpoints\stream_a\best_holdout.pt,5,8.277516627686055e-08,6.730012813704889e-08,8.708827436976208e-09,267,1,single_sigma,score_norm,0
argus stream A\outputs\avenue_stream_a_run1\checkpoints\stream_a\epochs\epoch_0025.pt,5,2.33232253776805e-06,1.5735060969745973e-06,3.8477560337923933e-07,267,2,single_sigma,score_norm,0
argus stream A\outputs\avenue_stream_a_run1\checkpoints\stream_a\epochs\epoch_0050.pt,5,1.2007395525870379e-05,8.080939551291522e-06,2.1410462522908347e-06,267,3,single_sigma,score_norm,0
argus stream A\outputs\avenue_stream_a_run1\checkpoints\stream_a\epochs\epoch_0075.pt,5,2.4046708858804777e-05,1.629735379538033e-05,4.39277573605068e-06,267,4,single_sigma,score_norm,0
argus stream A\outputs\avenue_stream_a_run1\checkpoints\stream_a\epochs\epoch_0100.pt,5,3.8890575524419546e-05,2.45813589572208e-05,8.103278560156468e-06,267,5,single_sigma,score_norm,0
argus stream A\outputs\avenue_stream_a_run1\checkpoints\stream_a\epochs\epoch_0125.pt,5,5.8545145293464884e-05,3.4782031434588134e-05,1.3853600648872089e-05,267,6,single_sigma,score_norm,0
argus stream A\outputs\avenue_stream_a_run1\checkpoints\stream_a\epochs\epoch_0150.pt,5,8.863255061442032e-05,5.618784052785486e-05,2.0133593352511525e-05,267,7,single_sigma,score_norm,0
argus stream A\outputs\avenue_stream_a_run1\checkpoints\stream_a\epochs\epoch_0175.pt,5,0.0001140161621151492,6.849157944088802e-05,2.8381873562466353e-05,267,8,single_sigma,score_norm,0
argus stream A\outputs\avenue_stream_a_run1\checkpoints\stream_a\epochs\epoch_0200.pt,5,0.00016142202366609126,9.477503772359341e-05,4.224736039759591e-05,267,9,single_sigma,score_norm,0
argus stream A\outputs\avenue_stream_a_run1\checkpoints\stream_a\epochs\epoch_0225.pt,5,0.00023907898867037147,0.00012930510274600238,7.027813262538984e-05,267,10,single_sigma,score_norm,0
argus stream A\outputs\avenue_stream_a_run1\checkpoints\stream_a\epochs\epoch_0250.pt,5,0.0003485841443762183,0.00019865801732521504,9.713245526654646e-05,267,11,single_sigma,score_norm,0
argus stream A\outputs\avenue_stream_a_run1\checkpoints\stream_a\epochs\epoch_0275.pt,5,0.0004884044756181538,0.0002836939529515803,0.000136867311084643,267,12,single_sigma,score_norm,0
argus stream A\outputs\avenue_stream_a_run1\checkpoints\stream_a\epochs\epoch_0300.pt,5,0.0006007610936649144,0.00033065470051951706,0.00018351479957345873,267,13,single_sigma,score_norm,0
