clip_auc,gmm_components,macro_auc,micro_auc,normal_holdout_p95,normal_holdout_score,normal_holdout_std,normal_num_clips,phase,rank,sigma_strategy,signal_kind,single_sigma_index,smoothing_sigma,split
,1,,,-75.48876190185547,-87.54072570800781,6.004045009613037,267,val_holdout_sweep,1,gmm,score_norm,,,val
,5,,,-70.14685821533203,-86.80196380615234,8.080934524536133,267,val_holdout_sweep,2,gmm,score_norm,,,val
,3,,,-70.624267578125,-86.69695281982422,7.845638275146484,267,val_holdout_sweep,3,gmm,score_norm,,,val
,1,,,-30.188064575195312,-71.54639434814453,20.23047637939453,267,val_holdout_sweep,4,gmm,log_density,,,val
,5,,,14.693900108337402,-61.40566635131836,38.74495315551758,267,val_holdout_sweep,5,gmm,log_density,,,val
,3,,,36.350852966308594,-56.2567024230957,45.1008186340332,267,val_holdout_sweep,6,gmm,log_density,,,val
,,,,-0.37410247325897217,-1.1046929359436035,0.6916325688362122,267,val_holdout_sweep,7,max,log_density,,,val
,,,,-0.37410247325897217,-1.1046929359436035,0.6916325688362122,267,val_holdout_sweep,8,single_sigma,log_density,0,,val
,,,,-0.37275072932243347,-1.1032702922821045,0.6916268467903137,267,val_holdout_sweep,9,single_sigma,log_density,1,,val
,,,,-0.3714219331741333,-1.1018697023391724,0.6916204690933228,267,val_holdout_sweep,10,single_sigma,log_density,2,,val
,,,,-0.3701157569885254,-1.1004908084869385,0.6916133761405945,267,val_holdout_sweep,11,single_sigma,log_density,3,,val
,,,,-0.36883240938186646,-1.0991337299346924,0.6916056275367737,267,val_holdout_sweep,12,single_sigma,log_density,4,,val
,,,,-0.36757177114486694,-1.0977985858917236,0.6915971636772156,267,val_holdout_sweep,13,single_sigma,log_density,5,,val
,,,,-0.366333931684494,-1.0964850187301636,0.6915880441665649,267,val_holdout_sweep,14,single_sigma,log_density,6,,val
,,,,-0.36511877179145813,-1.0951935052871704,0.691578209400177,267,val_holdout_sweep,15,single_sigma,log_density,7,,val
,,,,-0.36476150155067444,-1.094787836074829,0.6915650367736816,267,val_holdout_sweep,16,mean,log_density,,,val
,,,,-0.3645225763320923,-1.0945587158203125,0.6915729641914368,267,val_holdout_sweep,17,median,log_density,,,val
,,,,-0.36392641067504883,-1.0939236879348755,0.6915677189826965,267,val_holdout_sweep,18,single_sigma,log_density,8,,val
,,,,-0.3627568185329437,-1.092675805091858,0.6915565133094788,267,val_holdout_sweep,19,single_sigma,log_density,9,,val
,,,,-0.36160990595817566,-1.0914497375488281,0.6915446519851685,267,val_holdout_sweep,20,single_sigma,log_density,10,,val
,,,,-0.36048582196235657,-1.0902453660964966,0.6915320158004761,267,val_holdout_sweep,21,single_sigma,log_density,11,,val
,,,,-0.3593844473361969,-1.089063048362732,0.6915188431739807,267,val_holdout_sweep,22,single_sigma,log_density,12,,val
,,,,-0.35830584168434143,-1.087902545928955,0.6915048360824585,267,val_holdout_sweep,23,single_sigma,log_density,13,,val
